SL,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
161,4kpm50ItxF6iFUATTyQdOR,Dil Leke,4kUvUCtoAdrYROXqof0leG,https://p.scdn.co/mp3-preview/47d936add38a15201a865b8236a68b0614c1ff6c?cid=6f011d3377f54821bb6607c002103317,2009-08-10,"['desi pop', 'filmi', 'modern bollywood']",0.699,0.775,-4.988,0.0526,0.423,0.000235,0.228,0.51,92.026,7,1,273606,47.0
162,4kpm50ItxF6iFUATTyQdOR,Chori Chori,1x7T34ntvHETqgVeYVK2Jm,https://p.scdn.co/mp3-preview/edd2cf283fb0358c410dabd84189fabe1650db44?cid=6f011d3377f54821bb6607c002103317,2005-02-04,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",0.722,0.709,-11.435,0.143,0.558,0,0.203,0.945,97.991,11,1,324880,46.0
163,4kpm50ItxF6iFUATTyQdOR,Dil Keh Reha Ha,3FrY3M9izNqPZRWuBAqDFM,https://p.scdn.co/mp3-preview/036968260dc93389b94ade3f573456ae5c29215e?cid=6f011d3377f54821bb6607c002103317,2005-09-16,"['desi pop', 'filmi', 'modern bollywood']",0.721,0.617,-7.951,0.0503,0.139,6.29e-05,0.108,0.354,99.999,6,1,305907,44.0
164,4kpm50ItxF6iFUATTyQdOR,Aisa Deewana,6VoXc7GRlsVaIkamDLPfTu,https://p.scdn.co/mp3-preview/5d864dffaae376aa4de7dd948b7941e683184e9e?cid=6f011d3377f54821bb6607c002103317,2004-11-17,"['desi pop', 'filmi', 'modern bollywood']",0.335,0.775,-5.51,0.0853,0.556,3.58e-06,0.0856,0.738,93.629,9,0,313267,47.0
165,4kpm50ItxF6iFUATTyQdOR,Tu Meri Dost Hain,02N5ZxOVugGQmKeIT0VXUx,https://p.scdn.co/mp3-preview/9edb5a218dabf976c7b834d65b0ee4edf7aae592?cid=6f011d3377f54821bb6607c002103317,2008-11-21,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",0.683,0.712,-5.925,0.0254,0.461,6.13e-05,0.317,0.473,99.987,7,1,373173,54.0
166,4kpm50ItxF6iFUATTyQdOR,Labon Ko,5WncH5iZ5GFlnXm7jKEXVP,https://p.scdn.co/mp3-preview/a852cb1755edb12b1655197df844adaf40e065ff?cid=6f011d3377f54821bb6607c002103317,2007-09-05,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.63,0.837,-4.635,0.0387,0.329,0.00271,0.159,0.473,107.997,9,0,341028,56.0
167,4kpm50ItxF6iFUATTyQdOR,Aao Milo Chalo,6ocOeSjnWPcSTaSsi0zIdY,https://p.scdn.co/mp3-preview/5c3a0e43f014ea15ff5f30a9119dced2b400c25e?cid=6f011d3377f54821bb6607c002103317,2007-09-21,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.504,0.787,-5.948,0.0605,0.412,0,0.323,0.49,114.772,7,0,325934,58.0
168,4kpm50ItxF6iFUATTyQdOR,Beete Lamhein,0zQa7QXLpUZfrrsWbgDZll,https://p.scdn.co/mp3-preview/0e946eee9b30e2e2bd46244ae8141c0f3211cb4a?cid=6f011d3377f54821bb6607c002103317,2007-04-18,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",0.257,0.583,-8.185,0.0429,0.603,0.000289,0.146,0.217,160.127,7,1,298272,60.0
169,4kpm50ItxF6iFUATTyQdOR,Saajna,7KzGAwJRYS9KLMuVnStqYN,https://p.scdn.co/mp3-preview/93a2a18c98e4a7ac539c3f9bea247cc553964f1c?cid=6f011d3377f54821bb6607c002103317,2013-02-05,[unknown],0.667,0.779,-4.115,0.0274,0.252,2.08e-05,0.314,0.557,105.96,1,0,281510,51.0
170,4kpm50ItxF6iFUATTyQdOR,Tum Ho Mera Pyar,2EN5aTDtX8852Ih3ss8Rih,https://p.scdn.co/mp3-preview/e7759940ae77b9f9bfbeaed280defddfad05343a?cid=6f011d3377f54821bb6607c002103317,2011-04-13,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",0.56,0.702,-9.343,0.0366,0.173,0,0.125,0.562,149.934,1,0,305500,53.0
171,4kpm50ItxF6iFUATTyQdOR,Khudaya Ve,2PRLuCoUGWfUpbBo7yWuJd,https://p.scdn.co/mp3-preview/070580208f2ebdf9890e851b075bdbe657742ebc?cid=6f011d3377f54821bb6607c002103317,2009-06-23,['modern bollywood'],0.411,0.529,-11.178,0.0388,0.7,0.00098,0.105,0.521,72.783,0,1,321147,45.0
172,4kpm50ItxF6iFUATTyQdOR,Tere Bin,6eP90p1HtbiIAM6YUBfOQk,https://p.scdn.co/mp3-preview/36b21bbde5a4965e882ac4609287aecdff1679b7?cid=6f011d3377f54821bb6607c002103317,2010-12-23,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.529,0.492,-5.753,0.0326,0.801,0,0.0951,0.591,133.144,5,1,315733,42.0
173,4kpm50ItxF6iFUATTyQdOR,Channa Ve,58ynJq9eLLDChA3GNFJcDL,https://p.scdn.co/mp3-preview/939495439563c7ef7144692b0e429c54b7cc9d7b?cid=6f011d3377f54821bb6607c002103317,2020-02-12,"['desi pop', 'modern bollywood']",0.676,0.696,-6.68,0.0452,0.666,0,0.0931,0.606,94.945,9,1,211579,56.0
174,4kpm50ItxF6iFUATTyQdOR,Adhoore,298atiKYvG84VfbXNbZiX5,https://p.scdn.co/mp3-preview/cc7becd38cf2e9c2b3e52f7a4ab6cce889b3b844?cid=6f011d3377f54821bb6607c002103317,2010-10-18,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",0.799,0.542,-7.142,0.0308,0.0858,1.5e-06,0.126,0.673,107.993,0,1,264210,54.0
175,4kpm50ItxF6iFUATTyQdOR,I Feel Good,09sq0BHe85uV2ADUx1gaiA,https://p.scdn.co/mp3-preview/c77b0123a87081378820525e5a229ea097b68579?cid=6f011d3377f54821bb6607c002103317,2010-08-19,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",0.636,0.785,-6.876,0.0279,0.0262,0.00136,0.297,0.749,125.974,7,0,317505,55.0
176,4kpm50ItxF6iFUATTyQdOR,Hai Junoon,5u4q3iqZ9IMbXaR7bsGYbW,https://p.scdn.co/mp3-preview/2a9848246a08bf3c1ba2b0fa085f962dab8a2e21?cid=6f011d3377f54821bb6607c002103317,2009-06-10,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.739,0.664,-10.582,0.0338,0.539,1.14e-06,0.0856,0.878,106.021,2,1,331572,55.0
177,4kpm50ItxF6iFUATTyQdOR,Rahogi Meri,2X72RoxsswQEfzOWYDSBWD,https://p.scdn.co/mp3-preview/7c3fc6d3211b5f6980d217a388e257e089a6fdbf?cid=6f011d3377f54821bb6607c002103317,2020-02-14,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.453,0.425,-7.413,0.0245,0.554,9.02e-05,0.0963,0.249,83.093,0,1,252382,50.0
178,4kpm50ItxF6iFUATTyQdOR,Thodi Der,5kl6FcnZv8jQDgNSWNyfpN,https://p.scdn.co/mp3-preview/9f70b91975619f63ab84d5dc1b659541d63730f7?cid=6f011d3377f54821bb6607c002103317,2017-04-30,"['modern bollywood', 'pakistani pop']",0.485,0.456,-6.544,0.0309,0.898,2.58e-05,0.0835,0.424,90.352,9,1,296377,60.0
179,4kpm50ItxF6iFUATTyQdOR,Phir Bhi Tumko Chaahunga,35P2Xal9x3GAdOHytyEUFe,https://p.scdn.co/mp3-preview/737b0eecf1623d238ac5348fbb8d871818ceef8f?cid=6f011d3377f54821bb6607c002103317,2017-04-30,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",0.527,0.525,-8.106,0.0337,0.876,1.41e-05,0.172,0.257,99.638,1,1,351588,69.0
180,4kpm50ItxF6iFUATTyQdOR,Mar Jaayen,1ZGZsRhYm4XEU7ZWhYBxJA,https://p.scdn.co/mp3-preview/5540f23d31c324889026c83658892b8d173823c0?cid=6f011d3377f54821bb6607c002103317,2016-02-19,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.506,0.508,-6.34,0.0291,0.58,0,0.129,0.312,88.122,5,1,258752,52.0
